Name:,Address:,County:,Type:,Capacity,Status:,Closed Date:,License Number,License Status,Licensee Name,Zip,URL,,
3 CS ABC & 123,"47080 EXETER CT                                  SHELBY TWP , MI 48315
                                 Phone: (586) 243-8998",MACOMB,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG500394080,REGULAR,"SEVERANCE, COLLEEN",48315,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG500394080,,
3 LITTLE BEARS DAYCARE,"6570 RUTHERFORD                                  DETROIT , MI 48228
                                 Phone: (248) 331-5537",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF820398567,REGULAR,BRIANANA LINK,48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820398567,,
3 MUSKETEERS DAYCARE,"1388 LANCASTER AVE NW                                  GRAND RAPIDS , MI 49504
                                 Phone: (616) 240-5721",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410384743,REGULAR,"BIGELOW, ADELE",49504,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410384743,,
4 K LEARNING CENTER,"13220 GREENFIELD                                  DETROIT , MI 48227
                                 Phone: (313) 403-5248",WAYNE,CHILD CARE CENTER,60,ACTIVE,N/A,DC820397838,REGULAR,4 K LEARNING CENTER,48227,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820397838,,
40 ACRE WOOD DAYCARE,"5595 TRUCKEY RD                                  ALPENA , MI 49707
                                 Phone: (989) 657-0727",ALPENA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,11/1/2019,DG040386903,CLOSED,"KASUBOWSKI, ELIZABETH",49707,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG040386903,,
4016 HIDDEN MEADOW,"1925 RAMBLEWOOD CT.                                  KENTWOOD , MI 49508
                                 Phone: (616) 889-8168",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,4/22/2021,DF410405370,CLOSED,"DENT, SHANNON",49508,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410405370,,
4326 CRUZ DR,"4326 CRUZ DR                                  MIDLAND , MI 48642
                                 Phone: (989) 513-2472",MIDLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,4/30/2021,DF560405556,CLOSED,"ABBATE, KATIE",48642,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF560405556,,
4K LEARNING CENTER,"8900 PARDEE                                  TAYLOR , MI 48180
                                 Phone: (313) 403-5248",WAYNE,CHILD CARE CENTER,120,CLOSED,1/25/2021,DC820402288,CLOSED,4 K LEARNING CENTER,48180,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820402288,,
4K LEARNING CENTER DETROIT,"19212 W WARREN AVE                                  DETROIT , MI 48228
                                 Phone: (313) 818-7702",WAYNE,CHILD CARE CENTER,30,ACTIVE,N/A,DC820409427,REGULAR,4K LEARNING CENTER DETROIT INC.,48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820409427,,
4K LEARNING CENTER- SOUTHGATE,"11355 REEK RD.                                  SOUTHGATE , MI 48195
                                 Phone: (313) 381-8719",WAYNE,CHILD CARE CENTER,100,CLOSED,2/24/2022,DC820407239,CLOSED,4 K LEARNING CENTER-REDFORD,48195,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820407239,,
4K LEARNING CENTER-REDFORD,"23800 W. CHICAGO                                  REDFORD , MI 48239
                                 Phone: (131) 381-8719",WAYNE,CHILD CARE CENTER,300,CLOSED,5/28/2021,DC820406720,CLOSED,4 K LEARNING CENTER-REDFORD,48239,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820406720,,
6200 KARABROOK CT,"6200 KARABROOK CT                                  KALAMAZOO , MI 49009
                                 Phone: (269) 598-6509",KALAMAZOO,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/5/2020,DF390398420,CLOSED,"MARSCHNER, KRISTIN",49009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF390398420,,
833 NICHOLS,"833 NICHOLS RD                                  KALAMAZOO , MI 49006
                                 Phone: (269) 491-1887",KALAMAZOO,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,10/21/2021,DF390409237,CLOSED,ANDRYA DOORLAG,49006,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF390409237,,
910 BAR RANCH,"4930 N. DARR RD.                                  FREE SOIL , MI 49411
                                 Phone: (231) 398-7462",MASON,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,5/28/2021,DF530402756,CLOSED,"BRIGGS, AMBER",49411,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF530402756,,
910 BAR RANCH,"4930 N. DARR RD.                                  FREESOIL , MI 49411
                                 Phone: (231) 398-7462",MASON,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,12/16/2019,DG530399749,CLOSED,"BRIGGS, AMBER",49411,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG530399749,,
911 MECHANICAL,"21310 RAINTREE DR                                  MACOMB , MI 48044
                                 Phone: (586) 292-3090",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,4/1/2022,DF500410344,CLOSED,"WROBLEWSKI, REBECCA",48044,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500410344,,
A & B LEARNING & CARE,"2601 MADISON AVE SE                                  GRAND RAPIDS , MI 49507
                                 Phone: (331) 431-9500",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410401947,REGULAR,"TADESE, YAINEABEBA & LANKAH, SAMUEL",49507,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410401947,,
A & B LITTLE PEOPLE'S DAYCARE,"6109 CLOVER WAY S.                                  SAGINAW , MI 48603
                                 Phone: (517) 897-4273",SAGINAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/7/2022,DF730409902,CLOSED,"SIGMAN, BROOKE",48603,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF730409902,,
A & J'S CHILD CARE,"512 W MARTIN ST                                  GLADWIN , MI 48624
                                 Phone: (989) 424-9165",GLADWIN,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG260393007,REGULAR,"BRUSH, JUDITH",48624,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG260393007,,
A & M'S CHILDCARE SERVICES,"7090 FIELDING ST                                  YPSILANTI , MI 48197
                                 Phone: (734) 796-5347",WASHTENAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/21/2020,DF810401568,CLOSED,"STEPHENSON, SHARRON A",48197,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF810401568,,
A AND W DAY CARE CENTER,"6565 GREENFIELD                                  DETROIT , MI 48228
                                 Phone: (313) 581-0665",WAYNE,CHILD CARE CENTER,108,ACTIVE,N/A,DC820073321,REGULAR,A AND W DAY CARE,48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820073321,,
A BRIGHTER BEGINNING,"16101 SCHOOLCRAFT                                  DETROIT , MI 48227
                                 Phone: (313) 736-3040",WAYNE,CHILD CARE CENTER,58,ACTIVE,N/A,DC820393206,REGULAR,LOLITA L. HENRY,48227,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820393206,,
A CHILD'S WORLD LEARNING CENTER,"SUITE 1 & 2  1828 E MICHIGAN  AVE                                                                YPSILANTI , MI 48198
                                 Phone: (734) 340-2248",WASHTENAW,CHILD CARE CENTER,38,ACTIVE,N/A,DC810383235,REGULAR,A CHILDS WORLD LEARNING CENTER LLC,48198,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC810383235,,
A CHILD'S WORLD LEARNING CENTER 2,"SUITE C  612 NORTH PARK STREET                                                                KALAMAZOO , MI 49007
                                 Phone: (734) 323-4376",KALAMAZOO,CHILD CARE CENTER,30,ACTIVE,N/A,DC390406832,REGULAR,A CHILDS WORLD LEARNING CENTER LLC,49007,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390406832,,
A DAY ON THE FARM DAYCARE,"10485 N VANDECAR RD                                  FARWELL , MI 48622
                                 Phone: (989) 339-8055",ISABELLA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/7/2022,DF370409758,CLOSED,"BROWN, ALAYNA",48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF370409758,,
A G B U ALEX & MARIE MANOOGIAN SCHOOL,"22001 NORTHWESTERN                                  SOUTHFIELD , MI 48075
                                 Phone: (248) 569-2988",OAKLAND,CHILD CARE CENTER,52,ACTIVE,N/A,DC630018413,REGULAR,A G B U ALEX & MARIE MANOOGIAN,48075,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630018413,,
A GROWING PLACE INC,"40700 TEN MILE ROAD                                  NOVI , MI 48375
                                 Phone: (248) 471-2333",OAKLAND,CHILD CARE CENTER,85,ACTIVE,N/A,DC630016724,REGULAR,A GROWING PLACE INC,48375,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630016724,,
A HAPPY PLACE CHILDCARE,"3713 LAWNDALE DRIVE                                  MIDLAND , MI 48642
                                 Phone: (989) 359-9207",MIDLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,11/28/2021,DF560398775,CLOSED,"VANDER WAAL, LESLEY",48642,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF560398775,,
A HOME AWAY FROM HOME CHILD CARE,"3875 BACON AVE                                  BERKLEY , MI 48072
                                 Phone: (248) 543-6631",OAKLAND,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,3/19/2020,DG630314717,CLOSED,"ROGERS, KASAUNDRA",48072,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG630314717,,
A JOYFUL NOISE CHILD DEVELOPMENT CENTER LLC,"2515 ASHMAN ST.                                  MIDLAND , MI 48640
                                 Phone: (989) 835-5555",MIDLAND,CHILD CARE CENTER,42,ACTIVE,N/A,DC560346646,REGULAR,A JOYFUL NOISE CHILD DEVELOPMENT CENTER LLC,48640,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC560346646,,
A JUMP AHEAD DAY CARE,"3846 STONERIDGE DRIVE                                  TRAVERSE CITY , MI 49684
                                 Phone: (231) 709-9472",GRAND TRAVERSE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG280339124,REGULAR,"CONROY, MARCILLE",49684,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG280339124,,
A L HOLMES ELEMENTARY SCHOOL,"8950 CRANE                                  DETROIT , MI 48213
                                 Phone: (313) 347-8855",WAYNE,CHILD CARE CENTER,36,ACTIVE,N/A,DC820018830,REGULAR,DETROIT PUBLIC SCHOOLS COMM. DISTRICT,48213,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820018830,,
A LITTLE ADVENTURE,"1295 N KEYSTONE RD                                  TRAVERSE CITY , MI 49696
                                 Phone: (231) 620-1231",GRAND TRAVERSE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/19/2019,DF280396772,CLOSED,"CHANDLER, ALEX",49696,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF280396772,,
A LITTLE SCHOOL HOUSE,"SUITE F  1600 CHARTWELL DRIVE                                                                TRAVERSE CITY , MI 49696
                                 Phone: (231) 933-7465",GRAND TRAVERSE,CHILD CARE CENTER,30,ACTIVE,N/A,DC280309953,REGULAR,A LITTLE SCHOOL HOUSE LLC,49696,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC280309953,,
A LITTLE STAR DAYCARE,"4704 STAUFFER AVENUE, SE                                  KENTWOOD , MI 49502
                                 Phone: (616) 328-0241",KENT,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,8/28/2021,DG410409235,CLOSED,"PEREZ-SURIEL, ARACELI AND LEANNY SOSA-PEREZ",49502,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG410409235,,
A LOT OF LOVE DAY CARE,"529 N. MONROE ST.                                  MONROE , MI 48162
                                 Phone: (734) 682-3236",MONROE,CHILD CARE CENTER,32,CLOSED,2/27/2020,DC580398120,CLOSED,A LOT OF LOVE INC.,48162,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC580398120,,
A LOVE LIKE YOURS,"22790 FIRWOOD AVE                                  EASTPOINTE , MI 48021
                                 Phone: (313) 742-7862",MACOMB,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,5/10/2021,DG500406195,CLOSED,"PEARSON, QUENNITTA",48021,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG500406195,,
A MOTHER'S LOVE,"113 LAMORA AVENUE                                  BATTLE CREEK , MI 49037
                                 Phone: (269) 832-0477",CALHOUN,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF130410254,ORIGINAL,"GORDON, SHERYL",49037,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF130410254,,
A MOTHER'S TOUCH,"44080 DURSON ST.                                  NOVI , MI 48375
                                 Phone: (734) 233-8052",OAKLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF630382466,REGULAR,"OLEARY, ANDREA",48375,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF630382466,,
A MOTHERS LOVE,"2453 SMILEY WAY                                  JACKSON , MI 49203
                                 Phone: (518) 917-1617",JACKSON,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,5/28/2021,DF380404734,CLOSED,"PEARSON, KIESHA",49203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF380404734,,
A OK DAYCARE,"7634 THOMAS STREET                                  CENTRAL LAKE , MI 49622
                                 Phone: (231) 590-8195",ANTRIM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/7/2020,DF050394186,CLOSED,CHEYENNE MOTT,49622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF050394186,,
A PIECE OF HEAVEN (JAQUANA POINDEXTER),"119 BORLAND AVE                                  SAGINAW , MI 48602
                                 Phone: (989) 909-5712",SAGINAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF730399047,REGULAR,"POINDEXTER, JAQUANA",48602,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF730399047,,
A PLACE FOR GRACE,"4790 GRATIOT ST                                  SAGINAW , MI 48638
                                 Phone: (989) 607-1741",SAGINAW,CHILD CARE CENTER,41,ACTIVE,N/A,DC730362187,REGULAR,A PLACE FOR GRACE CHILD CARE LLC,48638,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC730362187,,
A PLACE OF OUR OWN BEFORE & AFTER SCHOOL CENTER,"8932 GREENFIELD RD                                  DETROIT , MI 48228
                                 Phone: (248) 217-5617",WAYNE,CHILD CARE CENTER,35,CLOSED,8/30/2021,DC820404441,CLOSED,"A PLACE OF OUR OWN BEFORE & AFTER SCHOOL CENTER, L",48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820404441,,
A PLACE OF OUR OWN BEFORE & AFTER SCHOOL CTR,"8932 GREENFIELD ROAD                                  DETROIT , MI 48228
                                 Phone: (313) 397-8939",WAYNE,CHILD CARE CENTER,30,ACTIVE,N/A,DC820410310,ORIGINAL,"A PLACE OF OUR OWN BEFORE & AFTER SCHOOL CENTER, L",48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820410310,,
A RAY OF HOPE,"8425 MCNICHOLS RD                                  DETROIT , MI 48221
                                 Phone: (404) 488-3290",WAYNE,CHILD CARE CENTER,3,CLOSED,12/7/2021,DC820406517,CLOSED,A RAY OF HOPE INC,48221,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820406517,,
A SCHOOL FOR THE MIND & BODY,"STE. 101  936 S. BALDWIN ROAD                                                                CLARKSTON , MI 48348
                                 Phone: (248) 814-7100",OAKLAND,CHILD CARE CENTER,102,ACTIVE,N/A,DC630272940,1ST PROVISIONAL,A SCHOOL FOR THE MIND AND BODY,48348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630272940,,
A SCHOOL FOR THE MIND AND BODY,"3604 CLARKSTON ROAD                                  CLARKSTON , MI 48348
                                 Phone: (248) 396-4703",OAKLAND,CHILD CARE CENTER,35,ACTIVE,N/A,DC630367815,REGULAR,A SCHOOL FOR THE MIND AND BODY,48348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630367815,,
A STEP ABOVE LEARNING CENTER,"207 HUTCHINSON                                  KALAMAZOO , MI 49001
                                 Phone: (269) 388-4689",KALAMAZOO,CHILD CARE CENTER,60,ACTIVE,N/A,DC390248184,REGULAR,"A STEP ABOVE LEARNING CENTER, INC.",49001,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390248184,,
A TEACHERS LOVE,"19270 GRANDVIEW ST                                  DETROIT , MI 48219
                                 Phone: (248) 210-3920",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,8/22/2019,DF820395665,CLOSED,"TERRY, EMANI",48219,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820395665,,
A TO Z CHILD CARE,"45050 N. SPRING DRIVE                                  CANTON , MI 48187
                                 Phone: (804) 691-5177",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,2/24/2021,DF820401452,CLOSED,"AMIN, HEBA",48187,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820401452,,
A TO Z CHILDCARE,"13311 JENNIFER DR                                  PERRY , MI 48872
                                 Phone: (517) 610-0964",SHIAWASSEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,12/2/2019,DF780393856,CLOSED,"BRENIZER, AMBER",48872,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF780393856,,
A TOUCH OF HOME,"5527 PARKVIEW AVE.                                  KALAMAZOO , MI 49009
                                 Phone: (269) 372-9766",KALAMAZOO,CHILD CARE CENTER,135,ACTIVE,N/A,DC390394764,REGULAR,"ATH, LLC",49009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390394764,,
A TOUCH OF HOME CHILD CARE,"7455 OAKLAND DR.                                  PORTAGE , MI 49024
                                 Phone: (269) 220-5585",KALAMAZOO,CHILD CARE CENTER,83,ACTIVE,N/A,DC390384721,REGULAR,"ATH, LLC",49024,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390384721,,
A TOUCH OF HOME CHILD CARE TOO,"400 GLADYS                                  PORTAGE , MI 49002
                                 Phone: (269) 324-1969",KALAMAZOO,CHILD CARE CENTER,58,ACTIVE,N/A,DC390317912,REGULAR,"ATH, LLC",49002,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390317912,,
A TOUCH OF HOME CHILDCARE,"249 N. GRAND ST.                                  SCHOOLCRAFT , MI 49087
                                 Phone: (269) 679-3809",KALAMAZOO,CHILD CARE CENTER,56,ACTIVE,N/A,DC390401565,REGULAR,"ATH, LLC",49087,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390401565,,
A TOUCH OF HOME CHILDCARE VI,"7888 SOUTH 8TH STREET                                  KALAMAZOO , MI 49009
                                 Phone: (269) 743-7229",KALAMAZOO,CHILD CARE CENTER,30,ACTIVE,N/A,DC390409741,REGULAR,"ATH, LLC",49009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390409741,,
A TOUCH OF HOME V,"7890 S. 8TH ST.                                  KALAMAZOO , MI 49009
                                 Phone: (269) 743-7229",KALAMAZOO,CHILD CARE CENTER,77,ACTIVE,N/A,DC390405821,REGULAR,"ATH, LLC",49009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390405821,,
